"id","a00","a01","a02","a03","a04","a05","a06","a07","a08","a09","a10","a11","a12","a13","a14","a15","a16","a17"
"6907-46",414.0,-105.04,14.667365,-8.874845,63.752264,11.17422,-5.850733,-1.546122,35.404353,2.507536,-7.236961,2.725354,5.0,-19.059023,5.0,820.0,29.233274,0.481703
"9362-58",652.0,63.03,14.245067,3.125054,-36.465075,3.007719,-1.475161,-1.652632,-2.332954,-16.047602,-9.837271,6.122727,4.0,-15.709563,8.0,783.0,9.390641,-5.354996
"2687-18",397.0,-76.78,14.630436,-11.016117,16.666358,37.972763,20.59528,-1.370703,6.055985,17.069023,-12.687801,2.284461,5.0,-14.595047,7.0,749.0,7.001575,6.524624
"9826-18",723.0,-27.2,13.619173,0.49565,-20.011029,-2.272447,20.023576,-1.605961,-17.500195,14.984125,-11.356943,-15.979299,4.0,-8.298256,5.0,851.0,22.864051,7.090131
"7033-82",667.0,26.74,13.646264,-3.542943,-29.710884,31.278517,-5.422263,-1.755651,7.544161,-22.455108,-11.970061,-17.035382,4.0,-14.550885,6.0,672.0,-21.900108,-12.741919
"3422-72",580.0,54.19,13.200725,-6.517521,-18.994567,30.330367,-1.471925,-1.437455,4.617434,-31.573469,-13.429189,-11.514169,4.0,-8.817705,5.0,565.0,-34.226857,9.902789
"2990-47",692.0,58.76,13.102059,-12.466916,8.768537,24.650964,5.233814,-0.971581,-1.431139,3.658387,-14.670356,-7.073557,5.0,-9.96431,4.0,1148.0,39.110133,-5.613517
"8827-45",743.0,71.7,14.106987,-9.456254,-29.516945,0.102569,-15.983131,-1.973089,13.645043,-23.4393,-11.499323,3.730098,6.0,-4.610785,5.0,934.0,-19.184341,-5.999918
"8292-38",989.0,108.13,12.717311,-2.551548,-32.953795,-0.933822,-20.911729,-1.464053,43.788077,6.175915,-5.753839,-0.051846,5.0,-4.965562,5.0,719.0,-8.825986,-2.881536
"3274-24",501.0,64.96,13.548785,-7.027025,-0.966778,52.11275,15.414584,-1.100881,-14.327155,2.850615,-8.578377,-17.49343,5.0,-12.506439,6.0,820.0,5.675955,-6.75525
"2111-78",771.0,66.22,13.147947,-13.664054,-20.68984,-23.542042,-16.196334,-1.487479,14.727754,-13.85032,-12.403433,7.763938,3.0,2.276756,5.0,521.0,-16.703372,-1.098005
"7568-58",940.0,16.86,13.123822,-6.297187,-17.895303,-14.971444,0.666361,-1.552406,21.329442,32.606514,-13.231242,-1.977147,4.0,-16.255726,5.0,543.0,-31.870331,-12.040972
"6585-05",552.0,33.08,14.765269,-13.381147,-14.936577,25.637481,-4.112766,-1.188149,-3.403038,-8.992421,-9.989542,-7.800312,6.0,-16.301676,5.0,852.0,-21.639523,4.992321
"8916-40",662.0,117.12,14.670595,-9.42916,1.909178,9.084858,-12.810491,-1.605314,15.072326,-10.156373,-15.380382,1.243652,4.0,-10.271926,6.0,739.0,7.498335,-3.750119
"4147-49",595.0,-2.44,13.8345,-9.158658,28.202733,-43.338536,-37.675317,-1.233573,20.983994,-10.590012,-9.880701,-0.337966,5.0,-8.007426,6.0,845.0,-89.665733,2.072309
"2924-09",765.0,35.36,14.060123,-4.722459,-32.486125,28.320713,-16.868843,-1.588229,10.607824,1.017692,-5.261883,-1.821703,4.0,-19.655131,5.0,673.0,4.384749,-9.16039
"2275-06",242.0,-95.55,14.006103,2.001539,-31.141447,29.591969,2.949946,-1.627091,-31.000107,-1.372074,-9.20006,-17.458121,3.0,-6.319131,5.0,674.0,36.822525,-9.136442
"7763-10",812.0,68.37,12.917876,-15.829626,-34.06762,31.442238,-12.481363,-1.815638,7.479496,-33.981605,-15.343448,-6.195403,4.0,-2.842763,5.0,743.0,-44.49322,-9.081772
"1924-60",493.0,-80.88,13.587233,-18.614537,-20.938893,-7.425692,-7.818451,-1.274165,7.369402,3.602316,-8.240683,-2.296479,4.0,-23.921421,6.0,754.0,4.722458,-4.001714
"2034-64",685.0,85.53,14.833729,-8.807068,-41.020638,"",-10.546507,-1.775126,-1.164562,-5.548011,-11.064888,-14.197575,3.0,-13.579562,5.0,924.0,-55.582333,-1.154204
"7423-02",605.0,61.31,12.890999,-5.23519,21.568186,6.834348,-17.503515,-1.881369,11.312778,-5.569118,-10.11212,8.443132,5.0,-14.536397,6.0,1067.0,-27.077854,-9.158941
"1533-55",490.0,33.84,13.653282,1.15297,-8.339788,-10.680305,"",-1.332496,8.476123,-37.630944,-9.799677,-7.307343,5.0,1.242978,6.0,1022.0,24.73066,-8.119866
"6413-71",661.0,-8.89,14.452623,4.498527,-35.944619,48.857249,4.736436,-1.566207,8.556867,-31.986516,-9.523308,-7.529492,4.0,-11.152751,5.0,476.0,"",5.829228
"8204-7",614.0,15.66,14.334638,-7.31923,-6.306636,31.062498,-10.666412,-1.811801,-9.595016,-10.866847,-11.024647,-16.811669,5.0,-5.118282,6.0,673.0,9.969267,-0.957127
"5009-57",492.0,21.52,13.38931,3.517378,-15.942381,4.416493,-14.715353,-0.950456,-30.25853,-29.830347,-13.553031,-7.648089,5.0,-10.685146,6.0,598.0,20.58322,4.199691
"2654-34",374.0,-32.04,14.508313,4.102601,-49.089746,48.744149,-23.286581,-1.259855,-15.50593,-20.943477,-11.217394,-7.290973,5.0,-2.700564,6.0,789.0,-35.002015,-6.254626
"3058-79",613.0,50.92,13.109558,-28.38233,-11.468067,3.417707,-7.24787,-1.78377,6.718829,-37.206817,-9.577359,-5.642695,5.0,3.15619,6.0,897.0,4.434813,-9.9599
"6140-93",457.0,80.79,13.052209,-9.127196,8.30601,30.431908,-38.226852,-1.243287,-10.788718,-18.667909,-10.918038,-1.663291,4.0,-19.490871,4.0,664.0,34.715991,2.714345
