"id","code","b00","b01","b02","b03","b04","b05","b06","b07","b08","b09","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24","b25","b26","b27","b28","b29","b30","b31","b32","b33","b34","b35","b36","b37","b38","b39","b40","b41","b42","b43","b44","b45","b46","b47","b48","b49","b50","b51","b52","b53","b54","b55","b56","b57","b58","zip"
"9833-97","1000008","$ 529.89",-2.193341,-8.584264,4.868688,71.818841,-4.498876,16.744956,691.0,3.925472,5.528,2.58151,10.570297,-26.199953,6.0,5.0,-9.258741,22.344336,-6.108142,11.374742,-14.13724,-62.042322,"Central",15.715553,-2.561343,7.288299,946.0,-8.475999,11.171871,-17.219172,5.501239,-14.26404,-2.789088,-12.736726,-14.98,"Wed","-0.01%",7.841358,-15.831131,-9.263211,8.0,1.904666,5.681623,-12.722273,-6.7486,5.977106,-7.456683,11.837765,-0.444891,-8.7,3.687411,14.331421,6.587213,-73.744283,-6.316402,-34.629035,-9.034771,-1.542118,0.614752,"jun","99999"
"3712-54","1000009","$-1148.24",36.628058,-10.784441,-63.051455,0.556539,-3.652881,2.953972,679.0,-0.952497,13.408756,5.919654,-12.418916,2.342898,8.0,4.0,-16.823111,21.636651,5.394802,-24.204302,-29.526996,3.091324,"Central",7.790311,-3.821354,3.236135,886.0,-14.136901,13.185721,5.100266,-4.982231,-13.514961,-18.886162,-7.727401,5.83,"thu.","0.0",26.81858,-6.535106,-19.60821,5.0,-3.277422,-9.238628,-9.775705,-13.557496,4.728924,6.540344,9.659601,1.391988,10.2,-18.045765,11.417934,-9.959496,63.837,-9.956216,-6.489757,-6.149942,0.881381,3.198484,"Jun","67415"
"4534-21","1000009","-20.9",-6.556671,-2.072963,-2.660691,21.136628,-6.349133,2.682999,568.0,-1.038579,12.704436,19.342789,14.769707,-13.46048,5.0,5.0,5.945515,-5.756689,5.551736,15.438283,16.746426,-38.170479,"Central",13.846953,-1.548351,4.032259,970.0,-8.077296,12.663323,13.624464,1.040923,-14.152351,17.044861,-5.301295,126.33,"Wednesday","0.01 %",9.28746,25.76034,-15.020531,6.0,-3.434699,9.697824,-15.777207,-14.414171,13.611113,0.674622,15.346537,-11.568765,82.06,-1.304793,47.711376,-8.45982,37.889419,-4.862222,-87.673026,-13.316884,0.029769,6.679282,"May","31855"
"2297-37","1000001","$-414.97",-23.80288,-59.338588,-9.06546,11.84665,-6.387652,18.555396,479.0,-10.755498,4.318112,-4.116815,1.598924,-9.468151,7.0,5.0,-4.203795,-34.146743,-24.32983,-16.154566,-2.113922,-11.039482,"Central",-10.38496,-5.130614,4.997723,857.0,-3.315094,12.445376,6.859536,3.033374,-13.500233,18.889741,-4.054883,16.99,"Thu","-0.03",17.966604,-31.743009,6.627756,8.0,4.372758,-3.005602,-8.301468,-15.964434,18.35805,26.742143,12.855254,-1.20861,-0.41,7.040691,-7.037616,13.828542,12.480594,6.296147,-19.232859,-11.868817,-4.320722,6.564585,"August","61349"
"2208-19","1000009","$-717.8",57.356737,23.011277,-4.912116,8.896011,-8.08596,1.774127,425.0,-9.181208,6.824392,2.296494,9.412506,-11.575904,5.0,7.0,-16.929469,0.130661,11.131238,-9.793509,2.47476,19.710835,"Central",-17.526243,-0.433722,-0.26808,809.0,-4.893334,10.342706,1.857131,5.309382,-18.477912,-5.667502,-16.975773,46.32,"Thu.","-0.0",8.942355,10.816166,3.766772,5.0,0.142604,-18.977253,-8.242112,-9.42262,9.518762,23.741341,4.650903,2.228516,7.7,-8.944456,55.821474,4.473574,28.127893,-12.740555,31.61576,-15.043046,1.843808,7.529251,"May","43556"
"3063-56","1000009","$ -807.95",-3.728464,-3.862112,24.492658,47.239696,-7.390309,14.045334,790.0,3.975206,7.177871,1.960872,0.847399,12.556062,5.0,7.0,23.171833,1.949145,-11.356421,1.710028,3.47859,-17.43294,"Central",-31.821385,-3.299738,1.727957,1091.0,-6.573327,10.906821,-12.773569,4.789439,-14.930294,-6.959952,-0.443986,-20.74,"wed","0.01%",11.295586,2.179421,12.645675,5.0,-2.55765,10.079169,-16.71178,-15.335114,10.996503,-13.52263,9.579614,-14.066636,4.34,-15.42544,-24.141302,-11.684517,-11.316737,-16.92282,0.693875,-5.579188,-4.189131,2.29489,"April","13363"
"2514-72","1000002","$-298.82",47.52074,44.694248,26.600713,-1.136524,-10.331419,3.553428,505.0,-1.473823,5.815877,5.086828,-6.866091,-33.064489,4.0,6.0,-0.169571,-22.423844,-8.755547,-23.593789,-17.508411,10.303759,"Central",-42.783621,-3.15441,1.794798,855.0,-8.95772,11.442969,-1.841961,3.897417,-7.252848,-13.528487,-9.010353,21.86,"wednesday","0.0",13.949861,50.840334,0.010333,5.0,0.156066,-17.832347,-10.198889,-6.219948,13.528942,-11.935917,9.53185,-5.230177,91.51,-17.61383,13.556133,-5.135759,14.831972,-18.41164,27.588931,-12.158028,-3.734634,9.766399,"Jun","33303"
"4260-41","1000008","$305.22",10.476673,-30.103442,1.872631,11.848059,-17.001235,6.229429,749.0,-2.66592,12.304127,-5.527124,10.993242,-19.57102,5.0,6.0,22.258598,4.675108,-10.938912,-2.538654,1.587874,18.81496,"Central",-9.404936,-4.658315,0.127238,830.0,0.396306,11.689029,6.173348,1.071977,-16.321959,11.548604,-9.230569,20.23,"Wed","0.0%",5.824632,-26.966455,-5.701101,7.0,-3.415209,-7.746427,-11.73258,-12.10395,5.103975,6.172218,1.713962,-4.769311,-79.82,-0.308776,19.27363,-25.707741,23.021706,-25.95473,-23.950582,-9.727142,0.886061,11.793,"jul","19892"
"5732-27","1000001","-808.94",6.798726,-29.623065,-32.772532,-11.547243,-13.302282,9.131809,784.0,0.210406,7.478306,8.420474,9.718868,51.6972,6.0,7.0,15.519567,2.203369,3.746742,-43.872528,-5.879445,3.234738,"Central",-7.375012,-6.592915,3.914625,916.0,-2.332464,12.910262,-7.358362,0.391284,-23.35797,10.270499,-11.394251,-14.8,"thu","0.01",8.488797,-23.085557,-7.373266,5.0,-2.822057,-24.48591,-12.404786,-16.093802,13.106842,-0.538569,5.23245,1.2416,1.8,3.536762,-56.17165,-8.392388,82.664715,-15.185474,-43.893783,-9.723435,-2.823213,7.171952,"august","01061"
"1399-60","1000002","-752.28",-4.737681,-66.623117,61.436204,27.982957,-14.422865,21.795678,562.0,3.082155,2.626445,-10.373981,2.309739,0.938804,6.0,7.0,-18.764419,9.534161,-10.391173,-2.23694,-34.503158,9.136786,"Central",62.711393,-1.750391,4.262217,1038.0,-4.292106,11.688722,1.783945,2.783719,-8.153743,6.737701,-5.70038,-10.52,"thu.","0.01",13.115732,-22.915459,-29.613677,4.0,-2.316281,-17.386307,-13.1624,-12.382894,6.290159,-0.097357,16.463927,3.755368,-74.15,-1.016195,-29.925207,-4.138029,19.683909,-10.547647,-49.114837,-12.79137,-3.645272,6.054922,"jul","70099"
"9798-60","1000003","$ -2090.2",31.218945,5.838364,20.774661,10.318449,-6.980194,10.919607,588.0,-3.614668,9.619879,-5.550747,-1.619682,-37.919374,5.0,7.0,-1.629542,-3.464812,19.613517,-11.342137,-11.533813,-9.871051,"Central",-35.461648,-5.186634,1.900776,803.0,-6.372199,10.320331,-5.57386,6.971949,-18.5371,-16.150881,-9.75488,17.98,"thursday","-0.0",19.091242,9.258481,4.588618,6.0,-0.09166,19.616144,-15.69674,-12.837737,7.623995,-17.342817,13.633091,-11.989547,43.8,9.865372,69.995112,-0.802179,0.342229,-20.118837,-4.3065,-10.335539,1.579404,5.926492,"may","00000"
"8901-80","1000001","2070.77",17.816045,23.073828,5.405586,1.202793,-11.232907,12.561266,511.0,3.758508,0.615912,-3.768442,13.029649,-19.966887,5.0,9.0,11.422702,2.695091,-6.491078,-6.987246,4.190988,36.240667,"Central",35.395095,-3.570182,5.424499,527.0,-4.860333,10.532566,-0.780503,-3.396698,-3.250735,7.556888,-10.27368,94.15,"Wed.","0.0",24.857931,-39.319329,-13.578576,6.0,0.93339,-18.062801,-11.156047,1.843847,1.537721,29.716278,-2.246013,-8.560168,79.97,-11.917815,26.176025,1.874931,63.7672,-13.528831,-10.533991,-12.331369,2.288296,11.370926,"Jun.","90389"
"7545-55","1000008","$ 1662.66",11.687712,-14.835622,-72.412992,23.324717,-12.528067,10.132686,591.0,-0.145131,2.763652,12.91564,1.077821,-22.914746,5.0,7.0,-21.429219,30.986451,18.936971,-16.199155,-19.206101,6.904047,"West",-13.39611,-4.671122,5.424072,941.0,-4.009744,11.391306,18.602569,-1.170652,-13.619021,13.433031,-4.837335,10.02,"thu.","0.01",10.547866,-6.93858,-57.652679,4.0,0.122345,-1.562955,-14.324791,-14.900131,6.755179,12.640006,8.249923,2.538549,-70.44,-27.360373,3.966678,11.661838,-75.488506,-13.592319,-70.945338,-9.212825,-3.981344,3.321483,"aug","28341"
"5978-1","1000005","$361.02",-8.292568,-16.309191,-60.462378,27.915046,-4.388037,8.910169,749.0,-2.13765,13.313044,1.174577,-2.38019,3.950146,6.0,7.0,13.435202,-5.036661,2.618882,-14.84122,30.443211,34.062644,"West",34.018865,-1.291729,8.688881,516.0,-0.37643,11.269793,-9.662664,-3.440586,-4.864569,10.421876,-5.741183,41.76,"Wed.","-0.0",8.406127,-42.602826,16.813557,4.0,-2.628749,-15.080441,-9.695045,-6.321114,5.768355,17.373848,18.751948,-0.345847,67.89,17.449234,24.464311,1.138922,70.836819,-17.322798,6.977966,-9.125379,-3.08068,8.485312,"jul","67272"
