id,y
6928-62,0
1039-09,0
6826-93,0
4745-53,0
6874-55,0
9191-76,0
9167-68,0
1995-07,0
7819-75,0
6032-48,0
5899-42,0
8227-78,0
2571-15,0
7528-67,0
9093-52,0
1317-45,0
5422-88,0
5487-18,0
1169-48,0
9621-91,0
8383-01,0
6316-15,0
8801-4,0
5531-21,0
7220-68,0
2411-13,0
6171-16,0
8678-50,0
2346-84,1
4866-74,0
9395-01,0
2189-64,0
8842-67,0
8395-70,0
9365-56,0
5572-36,0
7934-53,0
1394-6,0
1580-28,0
8077-03,0
6121-58,0
7692-82,0
2212-92,0
6594-42,0
1900-71,0
3943-76,0
7112-44,0
9709-34,0
7123-,0
7356-80,0
6325-30,1
6653-19,0
8046-09,0
1613-78,0
4303-27,0
4025-56,0
8313-93,0
9332-74,0
5385-41,0
2372-93,0
5567-49,0
9163-55,1
7928-23,0
3492-7,0
9421-5,0
7525-1,0
4519-29,0
7981-67,0
6957-08,0
7200-2,0
9855-26,0
8505-42,1
1065-35,0
9287-53,0
1857-12,0
3129-3,0
5965-23,0
8304-08,1
8639-82,0
3195-62,0
2377-88,0
1231-19,0
6948-50,0
8283-02,0
4488-53,0
5502-85,0
3342-94,0
6130-5,0
6408-68,0
5331-57,0
2465-21,1
6721-33,0
1300-99,0
4629-32,0
1407-08,0
8874-09,0
8074-95,0
7622-2,0
4944-99,0
5230-00,0
9792-89,0
6369-18,0
4792-50,0
9502-58,0
5376-59,0
1398-18,0
5795-60,0
9200-91,0
6052-41,0
4818-8,0
6252-15,0
6573-27,0
8647-70,0
3213-3,0
2683-44,1
8807-26,1
6942-1,0
7989-17,0
2233-96,0
4859-45,0
2478-05,0
9126-99,0
1511-8,0
8531-14,0
5786-65,1
5168-98,0
6857-35,0
9483-20,0
1713-65,0
2172-4,0
7810-51,0
1733-83,0
4033-55,1
7390-63,0
1452-01,1
1815-80,0
7762-48,0
7091-26,0
8901-84,0
6274-96,0
4179-13,0
8000-04,0
2146-60,0
7467-41,0
7657-99,0
8164-31,0
7876-23,0
7736-92,0
1630-87,0
9921-00,0
2948-34,1
5656-16,0
6671-87,0
9247-28,0
3124-60,0
6938-77,0
3963-9,0
1057-81,0
